horizon_hours,target_set,target,last_hour_mae,last_hour_rmse,last_hour_r2,last_hour_smape_pct,last_hour_wape_pct,last_hour_mase,best_feature_model,best_feature_mae,best_feature_rmse,best_feature_r2,best_feature_smape_pct,best_feature_wape_pct,best_feature_mase,feature_mae_reduction_pct_vs_last_hour,feature_r2_delta_vs_last_hour
12,age,tim_F4_mean15,21.7174,30.9028,0.7978,3.377,3.2716,0.3697,hist_gradient_boosting,56.0525,73.2351,-0.1355,8.5667,8.4439,0.9543,-158.0994,-0.9333
12,age,tim_F5_mean15,27.1077,38.0333,0.8542,3.2112,3.087,0.3948,random_forest,96.1293,129.4411,-0.6888,10.9249,10.9469,1.3999,-254.6198,-1.543
12,age,tim_F6_mean15,26.4599,39.2564,0.7154,1.7405,1.7246,0.4018,hist_gradient_boosting,88.0869,103.9647,-0.9961,5.6679,5.7412,1.3377,-232.9074,-1.7115
12,flow,ingressi_borgo,21.4411,42.7917,0.6371,64.3717,43.11,0.8012,extra_trees,24.1514,53.0931,0.4413,66.7558,48.5595,0.9025,-12.6409,-0.1958
12,flow,uscite_borgo,20.7471,35.8598,0.7198,67.2244,38.7522,0.6991,extra_trees,26.8686,50.5687,0.4428,65.1795,50.1861,0.9053,-29.5053,-0.277
12,nationality,tim_Ni_mean15,96.2681,144.3519,0.8658,2.0942,2.0264,0.3674,poisson,360.1907,469.3717,-0.4189,7.646,7.5818,1.3746,-274.1538,-1.2847
12,nationality,tim_Ns_mean15,7.8792,11.2817,0.8152,6.7204,6.6172,0.2247,xgboost,20.5429,26.7716,-0.0407,17.4903,17.2524,0.586,-160.7216,-0.8559
24,age,tim_F1_mean15,4.9996,7.8127,0.702,7.8,7.2913,0.4468,two_stage_ridge,10.8398,13.4139,0.1214,16.9187,15.8086,0.9687,-116.8134,-0.5805
24,age,tim_F2_mean15,15.3397,20.054,0.7894,4.3335,4.2039,0.385,extra_trees,27.9813,35.6037,0.3362,7.8551,7.6683,0.7023,-82.4103,-0.4532
24,age,tim_F3_mean15,16.6999,22.9644,0.8051,3.8797,3.7448,0.3896,hist_gradient_boosting,33.8811,43.332,0.3059,7.7837,7.5976,0.7905,-102.882,-0.4991
24,age,tim_F4_mean15,21.9994,31.6359,0.7898,3.4246,3.323,0.3862,random_forest,41.9053,52.6643,0.4176,6.5224,6.3297,0.7357,-90.4843,-0.3722
24,age,tim_F5_mean15,27.4305,39.0083,0.8481,3.259,3.1337,0.4088,random_forest,59.124,75.9153,0.4245,6.9532,6.7545,0.8812,-115.5411,-0.4235
24,age,tim_F6_mean15,26.4191,38.7732,0.7259,1.7389,1.723,0.4051,xgboost,50.6757,67.9274,0.1587,3.3032,3.3049,0.7771,-91.8142,-0.5672
24,flow,ingressi_borgo,21.7264,43.0858,0.6352,64.7593,43.0661,0.832,xgboost,22.5903,51.8616,0.4715,61.6705,44.7786,0.8651,-3.9764,-0.1637
24,flow,uscite_borgo,20.8439,36.039,0.7191,66.4999,38.4367,0.7309,xgboost,23.8092,46.8287,0.5257,61.6794,43.9047,0.8349,-14.226,-0.1934
24,nationality,tim_Ni_mean15,97.32,149.7168,0.8569,2.1207,2.0541,0.3804,xgboost,200.6133,259.0164,0.5716,4.3375,4.2342,0.7841,-106.1378,-0.2852
24,nationality,tim_Ns_mean15,7.8693,11.0899,0.8235,6.7236,6.6198,0.2164,random_forest,19.1914,25.8445,0.0413,16.3231,16.144,0.5278,-143.8764,-0.7821
