horizon_hours,target_set,analysis_dir,model,target,model_family,n_train,n_test,fit_seconds,predict_seconds,total_seconds,inference_ms_per_row,mae,rmse,r2,smape_pct,wape_pct,mase,nmae_vs_mean_target,peak_mae,peak_threshold,peak_support,peak_predicted,peak_precision,peak_recall,peak_f1
6,age,outputs/slurm_dozza_three_analyses/h6h/age,last_hour,tim_F4_mean15,time_series_baseline,2124,531,0.0,0.0031,0.0031,0.0059,21.5978,30.6648,0.8014,3.3595,3.2574,0.3724,0.0326,,1017.5731,0,0,,,
6,age,outputs/slurm_dozza_three_analyses/h6h/age,last_hour,tim_F5_mean15,time_series_baseline,2124,531,0.0,0.0031,0.0031,0.0059,26.8747,37.7365,0.8568,3.1836,3.0635,0.3913,0.0306,,1271.7519,0,0,,,
6,age,outputs/slurm_dozza_three_analyses/h6h/age,last_hour,tim_F6_mean15,time_series_baseline,2124,531,0.0,0.0032,0.0032,0.0059,26.2586,37.2748,0.7439,1.7275,1.7123,0.3989,0.0171,,2207.3307,0,0,,,
6,flow,outputs/slurm_dozza_three_analyses/h6h/flow,extra_trees,ingressi_borgo,feature_model,2124,531,0.2822,0.054,0.3362,0.1016,19.7559,47.0048,0.5579,63.7235,39.6686,0.7405,0.3967,67.0046,82.7,103,73,0.9041,0.6408,0.75
6,flow,outputs/slurm_dozza_three_analyses/h6h/flow,extra_trees,uscite_borgo,feature_model,2124,531,0.2824,0.0541,0.3365,0.1019,20.7326,42.0526,0.6108,62.6237,38.6498,0.6975,0.3865,63.6789,81.0,109,72,0.8889,0.5872,0.7072
6,nationality,outputs/slurm_dozza_three_analyses/h6h/nationality,last_hour,tim_Ni_mean15,time_series_baseline,2124,531,0.0,0.0053,0.0053,0.01,95.6716,141.3605,0.8713,2.0811,2.0153,0.3674,0.0202,,6653.9103,0,0,,,
6,nationality,outputs/slurm_dozza_three_analyses/h6h/nationality,last_hour,tim_Ns_mean15,time_series_baseline,2124,531,0.0,0.0035,0.0035,0.0066,7.9933,11.2809,0.8143,6.797,6.7042,0.2305,0.067,11.9015,147.4616,77,77,0.7143,0.7143,0.7143
12,age,outputs/slurm_dozza_three_analyses/h12h/age,last_hour,tim_F1_mean15,time_series_baseline,2102,526,0.0,0.0051,0.0051,0.0097,4.9614,7.7279,0.7086,7.7141,7.2021,0.4304,0.072,9.7516,93.6434,10,10,0.4,0.4,0.4
12,age,outputs/slurm_dozza_three_analyses/h12h/age,last_hour,tim_F2_mean15,time_series_baseline,2102,526,0.0,0.0033,0.0033,0.0063,15.2705,19.865,0.7896,4.3033,4.1731,0.3789,0.0417,,529.5884,0,0,,,
12,age,outputs/slurm_dozza_three_analyses/h12h/age,last_hour,tim_F3_mean15,time_series_baseline,2102,526,0.0,0.0032,0.0032,0.006,16.5159,22.5716,0.8052,3.8267,3.6915,0.3787,0.0369,,681.8295,0,0,,,
12,age,outputs/slurm_dozza_three_analyses/h12h/age,last_hour,tim_F4_mean15,time_series_baseline,2102,526,0.0,0.0031,0.0031,0.0059,21.7174,30.9028,0.7978,3.377,3.2716,0.3697,0.0327,,1016.4756,0,0,,,
12,age,outputs/slurm_dozza_three_analyses/h12h/age,last_hour,tim_F5_mean15,time_series_baseline,2102,526,0.0,0.0032,0.0032,0.006,27.1077,38.0333,0.8542,3.2112,3.087,0.3948,0.0309,,1270.7325,0,0,,,
12,age,outputs/slurm_dozza_three_analyses/h12h/age,last_hour,tim_F6_mean15,time_series_baseline,2102,526,0.0,0.0031,0.0031,0.0059,26.4599,39.2564,0.7154,1.7405,1.7246,0.4018,0.0172,,2207.054,0,0,,,
12,flow,outputs/slurm_dozza_three_analyses/h12h/flow,last_hour,ingressi_borgo,time_series_baseline,2102,526,0.0,0.0057,0.0057,0.0109,21.4411,42.7917,0.6371,64.3717,43.11,0.8012,0.4311,63.3039,82.9,102,102,0.7647,0.7647,0.7647
12,flow,outputs/slurm_dozza_three_analyses/h12h/flow,last_hour,uscite_borgo,time_series_baseline,2102,526,0.0,0.0032,0.0032,0.0061,20.7471,35.8598,0.7198,67.2244,38.7522,0.6991,0.3875,48.8991,80.9,109,109,0.7798,0.7798,0.7798
12,nationality,outputs/slurm_dozza_three_analyses/h12h/nationality,last_hour,tim_Ni_mean15,time_series_baseline,2102,526,0.0,0.0066,0.0066,0.0125,96.2681,144.3519,0.8658,2.0942,2.0264,0.3674,0.0203,,6650.8861,0,0,,,
12,nationality,outputs/slurm_dozza_three_analyses/h12h/nationality,last_hour,tim_Ns_mean15,time_series_baseline,2102,526,0.0,0.0034,0.0034,0.0064,7.8792,11.2817,0.8152,6.7204,6.6172,0.2247,0.0662,11.7602,147.3359,76,76,0.7237,0.7237,0.7237
24,age,outputs/slurm_dozza_three_analyses/h24h/age,last_hour,tim_F1_mean15,time_series_baseline,2072,519,0.0,0.0053,0.0053,0.0102,4.9996,7.8127,0.702,7.8,7.2913,0.4468,0.0729,9.6356,93.2417,12,12,0.5,0.5,0.5
24,age,outputs/slurm_dozza_three_analyses/h24h/age,last_hour,tim_F2_mean15,time_series_baseline,2072,519,0.0,0.0034,0.0034,0.0065,15.3397,20.054,0.7894,4.3335,4.2039,0.385,0.042,,527.8631,0,0,,,
24,age,outputs/slurm_dozza_three_analyses/h24h/age,last_hour,tim_F3_mean15,time_series_baseline,2072,519,0.0,0.0033,0.0033,0.0063,16.6999,22.9644,0.8051,3.8797,3.7448,0.3896,0.0374,,681.612,0,0,,,
24,age,outputs/slurm_dozza_three_analyses/h24h/age,last_hour,tim_F4_mean15,time_series_baseline,2072,519,0.0,0.0032,0.0032,0.0062,21.9994,31.6359,0.7898,3.4246,3.323,0.3862,0.0332,,1016.3155,0,0,,,
24,age,outputs/slurm_dozza_three_analyses/h24h/age,last_hour,tim_F5_mean15,time_series_baseline,2072,519,0.0,0.0032,0.0032,0.0062,27.4305,39.0083,0.8481,3.259,3.1337,0.4088,0.0313,,1269.588,0,0,,,
24,age,outputs/slurm_dozza_three_analyses/h24h/age,last_hour,tim_F6_mean15,time_series_baseline,2072,519,0.0,0.0032,0.0032,0.0062,26.4191,38.7732,0.7259,1.7389,1.723,0.4051,0.0172,,2207.3638,0,0,,,
24,flow,outputs/slurm_dozza_three_analyses/h24h/flow,last_hour,ingressi_borgo,time_series_baseline,2072,519,0.0,0.0052,0.0052,0.01,21.7264,43.0858,0.6352,64.7593,43.0661,0.832,0.4307,62.3462,81.0,104,104,0.7596,0.7596,0.7596
24,flow,outputs/slurm_dozza_three_analyses/h24h/flow,last_hour,uscite_borgo,time_series_baseline,2072,519,0.0,0.0034,0.0034,0.0065,20.8439,36.039,0.7191,66.4999,38.4367,0.7309,0.3844,48.8991,81.0,109,109,0.7798,0.7798,0.7798
24,nationality,outputs/slurm_dozza_three_analyses/h24h/nationality,last_hour,tim_Ni_mean15,time_series_baseline,2072,519,0.0,0.0051,0.0051,0.0098,97.32,149.7168,0.8569,2.1207,2.0541,0.3804,0.0205,,6646.8341,0,0,,,
24,nationality,outputs/slurm_dozza_three_analyses/h24h/nationality,last_hour,tim_Ns_mean15,time_series_baseline,2072,519,0.0,0.0033,0.0033,0.0063,7.8693,11.0899,0.8235,6.7236,6.6198,0.2164,0.0662,11.3352,146.3548,81,81,0.7531,0.7531,0.7531
